,S2AQ21A,S1Q2A,S1Q2B,S1Q2C1,S1Q2C3,S1Q2C4,S1Q2E,S1Q6A
332, ,1,1, , , , ,4
333,4,1,1, , , , ,10
334,5,1,1, , , , ,14
335, ,1,1, , , , ,7
336,10,1,2, , , , ,8
337,9,1,1, , , , ,12
338,5,1,1, , , , ,9
339,9,1,2, , , , ,12
340,4,1,1, , , ,14,10
341,3,1,1, , , ,16,10
342,4,1,1, , , ,3,12
343,1,1,2, , , , ,12
344,4,1,1, , , , ,12
345, ,1,1, , , , ,10
346, ,1,1, , , , ,4
347, ,1,2, , , , ,3
348, ,1,2, , , , ,8
349,3,1,1, , , ,1,10
350,10,1,1, , , , ,13
351, ,1,1, , , , ,8
352, ,1,1, , , , ,7
353,7,1,2, , , , ,14
354,9,1,2, , , , ,10
355,4,1,1, , , , ,8
356, ,1,1, , , , ,14
357,10,1,1, , , , ,7
358, ,1,1, , , , ,10
359,4,1,1, , , , ,8
360,8,1,1, , , , ,10
361,10,1,1, , , , ,8
362,1,1,2, , , , ,10
363,1,1,1, , , , ,10
364,7,1,1, , , ,13,10
365,5,1,1, , , ,4,7
366,4,1,1, , , ,9,12
367, ,1,1, , , , ,12
368,10,1,2, , , , ,12
369,4,1,1, , , ,99,8
370,10,1,1, , , ,3,10
371, ,9, ,9,9,9, ,12
372,7,1,1, , , , ,10
373, ,1,1, , , ,15,12
374,10,1,1, , , , ,8
375, ,1,1, , , , ,14
376,5,1,1, , , , ,12
377,1,1,1, , , , ,9
378, ,1,1, , , , ,7
379,4,1,1, , , , ,3
380,2,1,1, , , , ,10
381,10,1,1, , , , ,10
382,6,1,1, , , , ,4
383,6,1,1, , , ,13,8
384,1,1,1, , , , ,8
385, ,1,1, , , , ,7
386,1,1,1, , , ,8,10
387,4,1,1, , , , ,11
388,5,1,1, , , ,17,9
389,9,1,1, , , ,12,12
390, ,1,1, , , , ,12
391,4,1,1, , , , ,6
392, ,9, ,9,9,9, ,8
393,5,1,2, , , , ,12
394,10,1,2, , , , ,7
395, ,1,1, , , , ,8
396,5,1,2, , , , ,7
397,9,1,1, , , , ,8
398,9,1,1, , , ,2,7
399, ,1,1, , , , ,7
400,10,1,2, , , , ,9
401, ,1,1, , , , ,7
