,S2AQ21A,S1Q2A,S1Q2B,S1Q2C1,S1Q2C3,S1Q2C4,S1Q2E,S1Q6A
26057,3,1,1, , , , ,12
26058,3,1,1, , , , ,12
26059,7,1,1, , , , ,12
26060, ,1,1, , , , ,14
26061,2,1,1, , , ,1,10
26062,5,1,1, , , , ,12
26063,2,1,1, , , , ,10
26064,3,1,1, , , , ,14
26065,6,1,1, , , ,13,12
26066,1,1,1, , , , ,8
26067,4,1,1, , , ,15,11
26068,9,1,2, , , , ,11
26069,1,1,1, , , , ,6
26070,1,1,1, , , , ,10
26071,1,1,2, , , , ,11
26072,10,1,1, , , , ,7
26073,1,2, ,1,2,2, ,9
26074,6,1,1, , , , ,10
26075,8,1,1, , , ,3,10
26076, ,1,1, , , , ,13
26077,4,1,1, , , , ,10
26078, ,1,2, , , , ,4
26079,4,1,2, , , , ,7
26080,4,1,1, , , , ,12
26081,5,1,1, , , , ,11
26082,10,1,2, , , , ,7
26083,4,1,1, , , , ,11
26084,10,1,1, , , , ,8
26085,6,2, ,1,2,2, ,8
26086,5,1,1, , , , ,12
26087,10,1,1, , , , ,12
26088,7,1,1, , , , ,14
26089,2,1,1, , , , ,7
26090,3,1,1, , , , ,10
26091,4,1,1, , , , ,8
26092,6,1,1, , , , ,8
26093,3,1,1, , , ,15,12
26094,4,1,1, , , , ,12
26095,2,1,1, , , , ,8
26096,2,1,1, , , , ,11
26097,10,1,1, , , , ,8
26098,4,1,2, , , , ,12
26099,5,1,1, , , , ,8
26100,4,1,1, , , , ,10
26101,4,1,1, , , , ,8
26102, ,1,1, , , , ,7
26103,5,1,1, , , , ,4
26104,2,1,1, , , ,17,10
26105,6,1,1, , , , ,8
26106,6,1,1, , , , ,14
26107,4,1,1, , , , ,14
26108,1,1,1, , , , ,10
26109,5,1,2, , , , ,8
26110, ,1,1, , , , ,7
26111,2,1,1, , , , ,9
26112,4,1,1, , , , ,12
26113,6,1,1, , , ,17,8
26114,10,1,1, , , , ,10
26115,1,1,1, , , , ,8
26116,10,1,1, , , , ,10
26117,2,1,1, , , , ,12
26118,1,1,1, , , , ,8
26119, ,1,1, , , , ,8
26120,10,1,1, , , , ,8
26121, ,1,1, , , , ,3
26122,1,1,1, , , , ,10
26123,6,1,1, , , ,5,14
26124,6,1,1, , , , ,8
26125,6,1,1, , , ,11,8
26126,10,1,1, , , , ,10
26127,8,1,1, , , , ,8
26128, ,1,1, , , , ,8
26129,5,1,1, , , , ,11
26130,3,1,1, , , , ,12
26131,8,1,1, , , , ,4
26132, ,1,1, , , , ,11
26133, ,1,1, , , ,8,7
26134,3,1,1, , , , ,8
26135,2,1,1, , , , ,11
26136,10,1,1, , , , ,8
26137,6,1,1, , , , ,10
26138, ,1,1, , , , ,8
26139,4,1,1, , , , ,11
26140,4,1,1, , , , ,8
26141,1,1,2, , , , ,8
26142,7,1,1, , , , ,12
26143,10,1,1, , , , ,12
26144,1,1,1, , , , ,9
26145, ,1,1, , , , ,8
26146,10,1,1, , , , ,4
26147, ,1,1, , , , ,2
26148,4,1,1, , , , ,14
26149,3,1,1, , , ,5,14
26150,10,1,1, , , , ,13
26151,3,1,1, , , ,10,10
26152,7,1,1, , , , ,14
26153,5,9, ,9,9,9, ,10
26154,10,1,1, , , ,15,8
26155, ,1,2, , , , ,8
26156,3,1,1, , , , ,11
26157, ,1,1, , , , ,14
26158,5,1,1, , , ,0,10
26159,2,1,1, , , , ,14
26160,6,1,1, , , , ,12
26161, ,2, ,1,2,2, ,10
26162, ,1,1, , , , ,8
26163,4,1,1, , , , ,14
26164,8,1,2, , , , ,4
26165,3,1,1, , , , ,8
26166,3,1,1, , , , ,13
26167, ,1,2, , , , ,10
26168,5,1,2, , , , ,8
26169,7,1,1, , , ,6,8
26170,10,1,1, , , , ,8
26171,9,1,1, , , , ,10
26172,3,1,1, , , ,4,12
26173,9,1,1, , , , ,10
26174,3,1,1, , , , ,14
26175,5,1,2, , , , ,8
26176,8,1,1, , , , ,14
26177, ,1,2, , , , ,10
26178,9,1,1, , , , ,9
26179, ,1,1, , , , ,11
26180, ,1,1, , , , ,5
26181,5,1,1, , , ,8,10
26182,10,1,2, , , , ,11
26183, ,1,1, , , , ,9
26184,1,1,1, , , ,14,9
26185,1,1,1, , , , ,12
26186, ,1,1, , , , ,8
26187, ,1,1, , , , ,9
26188,3,1,1, , , ,6,9
26189,5,1,1, , , ,13,12
26190,3,1,1, , , , ,14
26191,9,1,1, , , , ,11
26192,6,1,1, , , ,17,13
26193,3,1,1, , , ,7,8
26194,10,1,1, , , ,6,10
26195,2,1,1, , , , ,10
26196, ,1,1, , , , ,12
26197, ,1,2, , , , ,9
26198,3,1,1, , , , ,8
26199,8,1,1, , , ,1,8
26200,6,1,1, , , , ,10
26201,4,1,2, , , , ,14
26202,3,1,1, , , , ,12
26203,6,1,2, , , , ,5
26204,5,1,1, , , ,13,8
26205,7,1,1, , , , ,11
26206,4,1,1, , , , ,10
26207,4,1,1, , , , ,10
26208,5,1,1, , , , ,8
26209,2,1,1, , , , ,12
26210,9,1,1, , , , ,12
26211,9,1,1, , , , ,12
26212,4,1,1, , , , ,10
26213,3,1,1, , , , ,12
26214,10,1,1, , , , ,4
26215,2,1,2, , , , ,14
26216, ,1,1, , , , ,10
26217,5,1,1, , , ,11,10
26218,8,1,1, , , ,13,8
26219,1,2, ,2,2,2, ,10
26220,1,1,1, , , , ,11
26221,6,1,1, , , ,8,8
26222,1,1,1, , , , ,10
26223, ,1,1, , , , ,7
26224,6,1,2, , , , ,12
26225,9,1,1, , , , ,8
26226,7,1,1, , , , ,10
26227, ,9, ,9,9,9, ,10
26228,6,1,1, , , , ,14
26229,7,1,1, , , , ,14
26230,10,1,1, , , ,11,8
26231,6,1,1, , , , ,10
26232,10,1,1, , , , ,11
26233,9,1,1, , , , ,12
26234,9,1,1, , , ,11,11
26235,4,1,1, , , , ,10
26236,4,1,1, , , , ,14
26237,10,1,1, , , ,99,8
26238,8,1,1, , , , ,7
26239,1,1,1, , , , ,8
26240, ,1,1, , , , ,7
26241,10,1,2, , , , ,10
26242,4,1,1, , , , ,10
26243,4,1,2, , , , ,8
26244,5,1,1, , , , ,8
26245,8,1,1, , , , ,7
26246,2,1,1, , , , ,10
26247,5,1,1, , , ,6,10
26248,4,1,1, , , ,1,10
26249, ,1,1, , , , ,8
26250,8,1,1, , , , ,8
26251,10,1,1, , , , ,7
26252,5,1,1, , , ,5,8
26253,6,1,1, , , ,3,12
26254,2,1,1, , , , ,11
26255,1,1,1, , , , ,11
26256,1,1,1, , , , ,14
26257,10,1,1, , , , ,7
26258,8,1,1, , , , ,8
26259,10,1,1, , , , ,10
26260,4,1,1, , , , ,8
26261,5,1,1, , , , ,8
26262,3,1,1, , , , ,11
26263,4,2, ,1,2,2, ,11
26264,10,1,1, , , , ,5
26265,4,1,1, , , , ,14
26266,8,1,1, , , , ,13
26267,99,9, ,9,9,9, ,7
26268,6,1,1, , , ,8,6
26269,10,1,1, , , , ,8
26270,5,1,2, , , , ,10
26271,5,1,1, , , ,3,7
26272,1,1,1, , , , ,8
26273,2,1,1, , , ,11,8
26274,5,1,1, , , , ,12
26275,5,1,1, , , ,10,14
26276,4,1,1, , , , ,11
26277,3,1,1, , , , ,13
26278, ,1,1, , , , ,8
26279, ,1,1, , , , ,12
26280,4,1,1, , , , ,9
26281,10,1,1, , , ,6,10
26282, ,1,1, , , , ,10
26283, ,1,1, , , , ,8
26284,2,1,1, , , , ,10
26285,9,1,1, , , , ,7
26286, ,1,1, , , ,11,11
26287,5,1,1, , , , ,10
26288,5,1,1, , , ,4,10
26289, ,1,1, , , , ,7
26290,2,1,1, , , , ,11
26291,5,1,1, , , ,2,10
26292,7,1,1, , , , ,12
26293,10,1,1, , , , ,8
26294,6,1,1, , , , ,14
26295,7,1,1, , , ,13,8
26296,7,1,1, , , ,1,10
26297,6,1,1, , , , ,8
26298,9,1,2, , , , ,10
26299, ,1,1, , , , ,10
26300,9,1,1, , , , ,8
26301,3,1,1, , , ,9,14
26302,5,1,1, , , , ,12
26303,9,1,1, , , , ,14
26304,7,1,1, , , , ,10
26305,1,1,1, , , ,8,8
26306,4,1,2, , , , ,8
26307,1,1,1, , , ,8,8
26308,3,1,1, , , , ,7
26309, ,1,1, , , , ,10
26310, ,1,1, , , , ,7
26311,5,1,1, , , , ,7
26312, ,1,9, , , , ,8
26313,6,1,2, , , , ,10
26314,3,2, ,1,2,2, ,7
26315,3,1,1, , , , ,10
26316, ,1,1, , , , ,13
26317, ,1,1, , , , ,8
26318,6,1,1, , , , ,8
26319,4,1,1, , , , ,10
26320,9,1,1, , , , ,11
26321,3,1,1, , , ,4,7
26322,4,1,1, , , , ,13
26323,9,1,1, , , , ,13
26324,6,1,1, , , , ,12
26325,4,1,1, , , , ,8
26326,7,1,1, , , , ,8
26327, ,1,1, , , , ,8
26328,5,1,1, , , , ,10
26329, ,1,1, , , , ,10
26330,4,1,1, , , , ,8
26331,2,1,1, , , , ,14
26332,6,1,1, , , , ,4
26333,3,1,1, , , , ,8
26334,7,1,1, , , , ,10
26335,4,1,1, , , ,99,3
26336,3,1,1, , , ,10,14
26337,7,1,1, , , , ,9
26338,9,1,1, , , ,8,7
26339,3,1,2, , , , ,10
26340,5,1,1, , , , ,12
26341,9,1,1, , , , ,12
26342, ,1,1, , , , ,13
26343,1,1,1, , , , ,14
26344,1,1,1, , , ,9,9
26345,6,1,1, , , , ,7
26346,10,1,1, , , , ,9
26347,1,1,1, , , , ,7
26348,9,1,2, , , , ,10
26349,3,1,1, , , ,12,8
26350, ,1,1, , , , ,5
26351,3,1,2, , , , ,11
26352,10,1,1, , , , ,10
26353, ,1,1, , , , ,4
26354,2,1,1, , , , ,12
26355,4,1,1, , , ,14,9
26356,1,1,2, , , , ,10
26357,10,1,1, , , ,99,7
26358,4,1,1, , , , ,12
26359,1,1,1, , , ,5,12
26360,6,1,1, , , ,99,8
26361,1,1,1, , , , ,10
26362,3,1,1, , , ,5,8
26363,10,1,1, , , , ,8
26364, ,1,2, , , , ,6
26365,1,1,1, , , , ,14
26366,6,2, ,2,2,2, ,9
26367,6,1,1, , , ,12,11
26368, ,1,1, , , , ,8
26369,3,1,1, , , , ,14
26370,6,1,1, , , , ,13
26371,10,1,1, , , , ,8
26372,9,1,1, , , , ,10
26373,4,1,1, , , , ,11
26374,4,1,1, , , , ,10
26375,9,1,1, , , , ,8
26376,4,1,1, , , , ,7
26377,10,1,1, , , , ,8
26378,3,1,1, , , ,4,11
26379,4,1,1, , , ,8,9
26380,7,1,1, , , , ,12
26381, ,1,1, , , , ,12
26382,10,2, ,2,2,2, ,5
26383,10,1,1, , , , ,11
26384,6,1,1, , , , ,8
26385,1,1,1, , , ,11,7
26386,6,1,1, , , ,7,10
26387, ,1,1, , , , ,7
26388,5,1,1, , , , ,10
26389,1,1,1, , , , ,14
26390,7,1,1, , , , ,14
26391,3,1,1, , , , ,10
26392,6,1,2, , , , ,8
26393,2,1,2, , , , ,12
26394,10,1,1, , , , ,8
26395,4,1,1, , , , ,10
26396,6,1,2, , , , ,8
26397,5,1,1, , , ,5,10
26398,9,1,1, , , , ,8
26399,5,2, ,2,2,2, ,6
26400,6,1,2, , , , ,10
26401,4,1,1, , , , ,10
26402,8,1,1, , , ,5,8
26403,5,1,1, , , , ,10
26404,10,1,1, , , , ,8
26405,5,1,1, , , , ,12
26406,4,1,1, , , ,15,8
26407, ,1,1, , , ,16,8
26408,10,1,1, , , , ,14
26409,6,1,1, , , ,16,10
26410,3,1,1, , , ,17,10
26411,7,1,1, , , , ,12
26412,1,1,1, , , , ,7
26413,99,1,1, , , , ,8
26414,10,1,1, , , , ,8
26415,9,1,1, , , , ,8
26416,4,1,1, , , , ,13
26417,10,2, ,1,2,2,13,10
26418, ,1,1, , , , ,10
26419, ,1,1, , , , ,6
26420,9,1,1, , , , ,8
26421, ,1,1, , , , ,8
26422, ,1,2, , , , ,8
26423,10,1,1, , , , ,10
26424,7,1,1, , , ,5,11
26425,5,1,1, , , , ,10
26426,3,2, ,1,2,2, ,8
26427,3,1,1, , , , ,14
26428,2,1,1, , , , ,13
26429,1,1,1, , , , ,10
26430,5,1,1, , , , ,14
26431,10,1,1, , , , ,7
26432, ,1,1, , , , ,8
26433,4,1,1, , , ,4,14
26434,1,1,1, , , , ,12
26435, ,9, ,1,2,2, ,7
26436,6,1,1, , , , ,8
26437,3,1,1, , , ,13,12
26438,6,1,1, , , ,4,8
26439, ,1,1, , , , ,7
26440,3,1,1, , , , ,12
26441,9,1,1, , , , ,14
26442,5,1,1, , , ,3,10
26443,1,1,1, , , , ,10
26444,7,1,1, , , , ,8
26445,4,1,1, , , , ,14
26446,5,1,1, , , , ,12
26447,4,1,2, , , , ,13
26448,1,1,1, , , ,13,11
26449,5,1,1, , , ,15,14
26450,5,1,1, , , , ,10
26451,5,1,1, , , , ,10
26452,6,1,1, , , , ,11
26453,2,1,1, , , , ,8
26454, ,1,1, , , , ,4
26455,1,1,1, , , , ,9
26456,6,1,1, , , , ,8
26457,4,1,1, , , ,3,7
26458,3,1,1, , , , ,8
26459, ,1,2, , , , ,8
26460,10,1,1, , , , ,8
26461, ,1,2, , , , ,8
26462,8,1,1, , , , ,8
26463,7,1,1, , , ,16,8
26464,5,1,1, , , ,4,10
26465, ,1,1, , , , ,8
26466,5,1,1, , , , ,13
26467,3,1,2, , , , ,10
26468,7,1,2, , , , ,8
26469,3,1,1, , , , ,13
26470,5,1,1, , , , ,7
26471,4,1,2, , , , ,8
26472,3,1,1, , , , ,8
26473,1,1,1, , , , ,14
26474, ,1,1, , , , ,1
26475,1,1,1, , , ,2,8
26476, ,1,1, , , ,17,8
26477,9,1,1, , , , ,14
26478,1,1,1, , , , ,14
26479,9,1,2, , , , ,11
26480,10,1,1, , , , ,13
26481,10,1,2, , , , ,8
26482,4,1,1, , , ,7,8
26483,2,1,1, , , , ,6
26484, ,1,1, , , , ,7
26485,7,1,2, , , , ,8
26486,7,1,1, , , , ,8
26487,5,1,1, , , , ,11
26488,9,1,1, , , , ,7
26489,2,1,1, , , , ,9
26490,99,1,1, , , ,4,8
26491,1,1,1, , , , ,8
26492,1,1,2, , , , ,8
26493, ,1,1, , , , ,6
26494,6,1,1, , , , ,14
26495,3,1,1, , , , ,5
26496,3,1,1, , , ,2,8
26497,5,1,1, , , , ,10
26498,6,1,1, , , ,16,10
26499,4,1,1, , , ,9,12
26500,2,1,1, , , , ,11
26501, ,1,2, , , , ,7
26502,6,1,1, , , , ,8
26503,5,1,1, , , , ,13
26504,1,1,1, , , , ,9
26505, ,1,1, , , , ,8
26506,9,9, ,9,9,9, ,5
26507,2,1,1, , , , ,14
26508,6,1,1, , , ,9,11
26509,1,1,1, , , , ,11
26510,2,1,1, , , , ,10
26511,1,1,1, , , , ,8
26512, ,1,1, , , , ,7
26513,2,2, ,1,2,2, ,12
26514,1,1,1, , , , ,11
26515,10,1,1, , , ,8,7
26516,1,1,1, , , , ,8
26517,6,1,1, , , ,3,12
26518,4,1,1, , , ,6,10
26519,7,1,2, , , , ,7
26520,10,1,1, , , , ,10
26521,3,1,1, , , , ,12
26522,2,1,1, , , , ,8
26523,10,1,1, , , ,3,7
26524,5,1,1, , , , ,10
26525,3,2, ,2,2,2, ,7
26526,4,1,1, , , , ,8
26527,6,1,1, , , , ,10
26528, ,1,1, , , , ,10
26529,2,1,1, , , , ,12
26530,2,1,2, , , , ,7
26531,3,1,1, , , , ,14
26532,4,1,1, , , , ,14
26533,3,1,1, , , , ,7
26534,9,1,1, , , , ,10
26535,7,1,1, , , , ,13
26536,1,1,1, , , , ,10
26537,1,1,1, , , ,6,7
26538,8,1,1, , , ,5,12
26539,5,1,1, , , , ,10
26540,5,1,1, , , , ,7
26541,5,1,1, , , , ,12
26542,99,1,1, , , , ,12
26543,1,1,1, , , , ,7
26544, ,1,1, , , , ,8
26545, ,1,1, , , , ,4
26546,2,1,1, , , , ,8
26547,5,1,1, , , , ,7
26548, ,1,1, , , , ,8
26549,1,1,1, , , , ,8
26550,3,1,1, , , ,17,11
26551, ,1,1, , , , ,4
26552,1,1,1, , , , ,8
26553,9,2, ,2,1,2, ,1
26554,5,1,1, , , , ,8
26555, ,1,1, , , , ,5
26556,9,1,1, , , , ,12
26557, ,1,2, , , , ,10
26558,9,1,1, , , , ,8
26559,2,1,1, , , , ,12
26560, ,1,1, , , , ,11
26561,10,1,1, , , , ,8
26562, ,9, ,9,9,9, ,8
26563,4,1,1, , , , ,14
26564,10,1,1, , , , ,6
26565,2,1,1, , , , ,12
26566,2,1,1, , , ,3,9
26567,7,1,1, , , ,7,9
26568, ,1,2, , , , ,14
26569,6,1,1, , , , ,14
26570,6,1,1, , , , ,8
26571,2,1,1, , , , ,13
26572, ,2, ,2,1,2, ,8
26573, ,1,1, , , , ,8
26574, ,1,1, , , , ,12
26575,10,1,1, , , , ,8
26576,10,1,1, , , , ,8
26577,5,1,1, , , , ,14
26578,3,1,1, , , , ,14
26579,5,1,1, , , , ,12
26580,4,1,1, , , , ,14
26581, ,1,1, , , , ,11
26582, ,1,1, , , , ,10
26583, ,1,1, , , , ,10
26584,3,1,1, , , , ,11
26585,4,1,2, , , , ,14
26586,6,1,2, , , , ,8
26587,4,1,1, , , , ,7
26588,6,1,1, , , , ,8
26589,2,1,1, , , , ,11
26590,10,1,1, , , , ,12
26591, ,1,1, , , , ,8
26592,4,1,1, , , , ,13
26593,2,1,1, , , , ,8
26594, ,1,2, , , , ,10
26595,10,1,1, , , ,10,12
26596, ,1,1, , , , ,10
26597, ,1,1, , , , ,7
26598,1,1,1, , , , ,8
26599,10,1,1, , , , ,11
26600,3,1,2, , , , ,10
26601,1,1,1, , , , ,8
26602,3,1,1, , , , ,10
26603, ,1,1, , , , ,10
26604,4,1,2, , , , ,11
26605,99,1,1, , , , ,11
26606,6,1,1, , , ,9,14
26607,10,1,1, , , , ,10
26608,2,1,1, , , ,10,6
26609,5,1,1, , , , ,11
26610,1,1,1, , , , ,8
26611,6,1,1, , , , ,10
26612,6,1,1, , , , ,10
26613, ,1,2, , , , ,10
26614, ,1,1, , , , ,7
26615,1,1,1, , , , ,10
26616,7,1,1, , , ,5,10
26617,5,1,1, , , , ,11
26618, ,1,1, , , , ,14
26619,4,1,2, , , , ,9
26620,4,1,1, , , ,2,10
26621,1,1,1, , , , ,7
26622,5,1,1, , , , ,12
26623,1,1,1, , , , ,14
26624,9,1,1, , , , ,10
26625,3,1,1, , , ,11,10
26626,5,1,1, , , , ,12
26627,4,1,2, , , , ,11
26628,5,1,1, , , , ,8
26629,5,1,1, , , , ,8
26630, ,1,1, , , , ,12
26631,1,1,1, , , , ,10
26632,6,1,1, , , , ,11
26633,9,1,1, , , , ,10
26634,10,1,1, , , , ,8
26635,5,1,1, , , , ,8
26636,2,1,1, , , , ,8
26637,7,1,1, , , ,9,10
26638, ,1,1, , , , ,9
26639,10,1,1, , , , ,10
26640,4,1,1, , , , ,10
26641,10,1,1, , , , ,4
26642,10,1,1, , , , ,12
26643,6,1,1, , , , ,14
26644,10,1,1, , , , ,8
26645,9,1,1, , , ,8,12
26646,4,1,1, , , , ,8
26647,3,1,1, , , , ,12
26648,10,1,1, , , , ,7
26649,1,1,1, , , , ,10
26650,1,1,1, , , ,17,8
26651,10,1,1, , , , ,8
26652,1,1,1, , , , ,10
26653,4,1,1, , , , ,12
26654, ,1,1, , , , ,13
26655,3,1,1, , , ,9,6
26656, ,1,1, , , , ,14
26657,1,1,1, , , ,12,10
26658,10,1,1, , , , ,8
26659,3,1,1, , , , ,8
26660,9,1,1, , , ,5,11
26661,4,1,2, , , , ,14
26662, ,1,2, , , , ,10
26663,1,1,1, , , ,1,7
26664,4,1,1, , , , ,12
26665, ,1,1, , , , ,6
26666, ,1,1, , , , ,11
26667,10,1,1, , , , ,8
26668,5,1,1, , , , ,14
26669,2,1,1, , , , ,8
26670, ,1,1, , , , ,8
26671, ,1,2, , , , ,14
26672,7,1,1, , , , ,13
26673,1,1,2, , , , ,10
26674,10,1,1, , , ,6,10
26675,4,1,2, , , , ,11
26676,5,1,1, , , , ,13
26677,4,1,2, , , , ,8
26678,9,1,1, , , , ,8
26679,2,1,1, , , ,8,4
26680,4,1,1, , , , ,8
26681,9,1,1, , , , ,12
26682,6,1,2, , , , ,12
26683,1,1,1, , , , ,14
26684,3,1,1, , , ,13,7
26685,9,1,2, , , , ,12
26686,7,1,1, , , , ,8
26687, ,1,1, , , , ,11
26688,1,1,1, , , , ,10
26689,6,1,1, , , , ,8
26690,4,1,1, , , , ,14
26691,2,1,1, , , , ,7
26692,10,1,1, , , , ,5
26693,1,1,2, , , , ,13
26694,9,1,2, , , , ,8
26695,4,1,1, , , , ,14
26696,7,1,2, , , , ,11
26697,99,1,9, , , , ,8
26698,3,1,1, , , ,17,8
26699,5,1,1, , , , ,8
26700,10,1,1, , , , ,8
26701,4,1,1, , , ,13,10
26702,3,1,1, , , , ,11
26703,7,1,1, , , , ,10
26704,2,1,1, , , , ,8
26705,3,1,1, , , , ,8
26706,4,1,1, , , , ,11
26707,1,1,1, , , , ,14
26708,10,1,1, , , , ,8
26709,9,1,1, , , , ,8
26710,9,1,1, , , , ,8
26711,9,1,1, , , , ,8
26712,9,1,1, , , , ,12
26713,6,1,1, , , , ,14
26714,3,1,1, , , , ,10
26715,1,1,1, , , ,6,9
26716,4,1,1, , , , ,12
26717,10,1,1, , , , ,10
26718,3,1,1, , , , ,10
26719, ,1,1, , , , ,6
26720,8,1,1, , , ,7,11
26721,2,1,1, , , ,7,12
26722,7,1,1, , , , ,4
26723, ,1,1, , , , ,12
26724, ,1,1, , , ,99,11
26725,8,1,1, , , , ,11
26726,5,1,1, , , , ,10
26727,10,1,2, , , , ,7
26728,5,1,1, , , , ,10
26729,4,1,1, , , , ,4
26730, ,1,1, , , , ,7
26731,1,1,1, , , ,17,3
26732,4,1,1, , , , ,13
26733,6,1,2, , , , ,10
26734,1,1,2, , , , ,7
26735, ,1,1, , , , ,3
26736,8,1,1, , , , ,7
26737,2,1,1, , , , ,11
26738,3,2, ,2,2,2, ,8
26739,3,1,1, , , , ,8
26740,1,1,1, , , , ,8
26741,10,1,1, , , ,3,10
26742,3,1,1, , , , ,10
26743,4,1,1, , , , ,12
26744,2,1,1, , , ,6,8
26745,3,1,1, , , , ,10
26746,3,1,1, , , ,6,13
26747,9,1,2, , , , ,8
26748,3,1,1, , , ,5,10
26749,4,1,1, , , , ,12
26750,4,1,1, , , , ,12
26751,6,1,1, , , ,4,13
26752,10,1,1, , , , ,12
26753,5,1,1, , , , ,10
26754,2,1,1, , , , ,14
26755,4,1,1, , , , ,12
26756,4,1,1, , , , ,10
26757,3,1,1, , , , ,14
26758,4,1,1, , , , ,14
26759,5,1,2, , , , ,7
26760,5,1,1, , , , ,10
26761, ,1,1, , , , ,8
26762,3,1,1, , , , ,12
26763,6,1,1, , , , ,8
26764, ,1,1, , , , ,8
26765,4,1,1, , , ,7,12
26766,7,1,1, , , , ,1
26767,5,1,2, , , , ,13
26768,3,1,1, , , , ,14
26769,6,1,1, , , ,5,8
26770,6,1,1, , , ,9,8
26771,10,1,1, , , , ,11
26772,5,1,1, , , , ,8
26773,7,1,1, , , , ,11
26774,6,1,1, , , , ,8
26775,5,1,1, , , , ,8
26776,2,1,1, , , , ,12
26777,10,1,1, , , , ,10
26778,10,1,1, , , , ,8
26779,9,1,1, , , , ,10
26780,6,1,1, , , ,99,11
26781, ,1,1, , , , ,12
26782, ,1,2, , , , ,3
26783,9,1,2, , , , ,7
26784,5,1,1, , , ,4,9
26785,10,1,1, , , , ,8
26786,4,1,1, , , , ,7
26787,10,1,1, , , , ,12
26788,9,1,1, , , , ,14
26789,3,1,1, , , , ,8
26790,4,1,1, , , , ,14
26791,3,1,1, , , , ,13
26792,4,1,2, , , , ,4
26793,7,1,1, , , , ,6
26794,7,1,1, , , , ,10
26795,7,1,1, , , , ,12
26796,1,1,1, , , , ,8
26797,10,1,1, , , , ,8
26798,7,1,1, , , , ,13
26799,2,1,1, , , , ,7
26800,8,1,1, , , , ,10
26801,5,1,1, , , ,8,8
26802, ,1,1, , , , ,8
26803,4,1,1, , , , ,14
26804,1,1,1, , , ,6,7
26805,9,2, ,1,2,2, ,12
26806,6,1,1, , , , ,6
26807,7,1,1, , , , ,14
26808,5,1,1, , , , ,8
26809,5,1,1, , , ,6,13
26810,7,1,1, , , , ,7
26811,4,1,1, , , ,5,8
26812,10,1,1, , , , ,11
26813,9,1,1, , , , ,8
26814,5,1,1, , , ,12,10
26815,4,1,1, , , ,6,10
26816,5,1,1, , , , ,12
26817,4,1,1, , , , ,11
26818,9,1,1, , , , ,12
26819,7,1,2, , , , ,4
26820,7,1,1, , , , ,10
26821, ,1,1, , , , ,8
26822, ,1,1, , , , ,6
26823,9,1,1, , , , ,12
26824,7,1,1, , , ,12,8
26825, ,1,1, , , , ,8
26826, ,1,1, , , , ,7
26827,7,1,1, , , , ,8
26828,7,1,1, , , , ,7
26829, ,1,2, , , , ,14
26830,3,1,1, , , ,11,7
26831,3,1,2, , , , ,10
26832,3,1,1, , , , ,8
26833, ,1,1, , , , ,7
26834,6,1,1, , , , ,8
26835,3,1,1, , , , ,10
26836,3,1,1, , , , ,14
26837,6,1,1, , , , ,7
26838,10,1,1, , , , ,10
26839,10,1,1, , , , ,10
26840,5,1,2, , , , ,8
26841,5,1,2, , , , ,10
26842,1,1,1, , , , ,14
26843,1,1,1, , , , ,12
26844,10,1,1, , , , ,11
26845,10,1,1, , , , ,10
26846,5,1,2, , , , ,9
26847,1,1,1, , , , ,12
26848,1,1,1, , , , ,10
26849,9,1,1, , , , ,12
26850,9,1,1, , , ,12,11
26851,2,1,1, , , , ,9
26852,3,1,1, , , , ,10
26853,1,1,1, , , ,5,9
26854,7,1,1, , , , ,10
26855,4,1,1, , , , ,13
26856,1,2, ,1,2,2, ,12
26857,10,1,1, , , , ,10
26858,7,1,2, , , , ,14
26859,7,1,1, , , , ,8
26860,7,1,1, , , , ,14
26861,10,1,1, , , ,4,8
26862,5,1,1, , , , ,4
26863,4,1,1, , , , ,10
26864,5,1,1, , , , ,12
26865, ,1,1, , , , ,14
26866,4,1,1, , , , ,10
26867,3,1,1, , , , ,8
26868, ,1,1, , , , ,12
26869,5,1,1, , , , ,10
26870,6,1,1, , , , ,11
26871,10,1,1, , , , ,8
26872,99,1,1, , , , ,10
26873,3,1,1, , , , ,9
26874,10,1,2, , , , ,8
26875,6,1,1, , , , ,10
26876, ,1,1, , , , ,2
26877, ,1,1, , , , ,4
26878,2,1,1, , , , ,10
26879, ,1,1, , , , ,12
26880, ,1,1, , , , ,6
26881, ,1,1, , , , ,8
26882,3,1,1, , , , ,11
26883,9,1,1, , , , ,14
26884,6,1,1, , , , ,8
26885,9,1,1, , , , ,12
26886,4,1,1, , , , ,7
26887,5,1,1, , , , ,7
26888,10,1,1, , , , ,10
26889,5,1,1, , , , ,8
26890,4,1,1, , , , ,10
26891,4,9, ,9,9,9, ,8
26892, ,1,2, , , , ,8
26893,4,1,1, , , , ,4
26894,2,1,1, , , , ,10
26895,5,1,1, , , ,14,8
26896, ,1,1, , , ,5,8
26897,6,1,2, , , , ,9
26898,4,1,2, , , , ,9
26899,3,1,2, , , , ,13
26900,6,1,1, , , , ,12
26901, ,1,2, , , , ,8
26902,9,1,1, , , , ,11
26903,8,1,1, , , ,5,10
26904,5,1,2, , , , ,12
26905,7,1,1, , , , ,14
26906,3,1,1, , , , ,11
26907,1,1,1, , , , ,12
26908,7,1,1, , , , ,11
26909,10,1,1, , , , ,9
26910,6,1,2, , , , ,11
26911,3,1,1, , , , ,10
26912,9,1,1, , , , ,10
26913,8,1,1, , , ,4,12
